Trap name,,,,,,
Fool's mate,1. f3 e5 2. g4,1. e4 g5 2. d4,1. e4 g5 2. Nc3,1. f4 e5 2. g3 exf4,1. d4 f5 2. Bg5 h6 3. Bh4 g5 4. Bg3,"1. e4 b6 2. d4 Bb7 3. Bd3 f5 4. exf5 Bxg2
5. Qh5+ g6 6. fxg6"
,1. f3 e5 2. g4 Qh4#,1. e4 g5 2. d4 f6,1. e4 g5 2. Nc3 f5,1. f4 e5 2. g3 exf4 3. gxf4 Qh4#,1. d4 f5 2. Bg5 h6 3. Bh4 g5 4. Bg3 f4,"1. e4 b6 2. d4 Bb7 3. Bd3 f5 4. exf5 Bxg2
5. Qh5+ g6 6. fxg6 Nf6"
,Black,White,White,Black,White,White
Scholar's mate,1. e4 e5 2. Bc4 Nc6 3. Qh5,1. e4 e5 2. Qh5 Nc6 3. Bc4,1. e4 e5 2. Qh5 Bc5 3. Bc4,1. e4 e5 2. Bc4 Bc5 3. Qh5,,
,1. e4 e5 2. Bc4 Nc6 3. Qh5 Nf6 4. Qxf7#,"1. e4 e5 2. Qh5 Nc6 3. Bc4 g6 4. Qf3 d6
5. Qxf7#",1. e4 e5 2. Qh5 Bc5 3. Bc4 Nf6,1. e4 e5 2. Bc4 Bc5 3. Qh5 Nf6,,
,White,White,White,White,,
Lasker Trap,1. d4 d5 2. c4 e5 3. dxe5 d4,,,,,
,1. d4 d5 2. c4 e5 3. dxe5 d4 4. e3,,,,,
,Black,,,,,
Budapest Trap,1. d4 Nf6 2. Nd2 e5 3. dxe5 Ng4,,,,,
,1. d4 Nf6 2. Nd2 e5 3. dxe5 Ng4 4. h3,,,,,
,Black,,,,,
Halosar Trap,"1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3
5. Qxf3 Qxd4 6. Be3",,,,,
,"1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3
5. Qxf3 Qxd4 6. Be3 Qb4",,,,,
,Black,,,,,
Monticelli Trap,"1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Bd2 Bxd2+
5. Qxd2",,,,,
,"1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Bd2 Bxd2+
5. Qxd2 h6",,,,,
,White,,,,,
Kieninger Trap,"1. d4 Nf6 2. c4 e5 3. dxe5 Ng4 4. Bf4 Nc6
5. Nf3 Bb4+ 6. Nbd2 Qe7 7. a3 Ngxe5",,,,,
,"1. d4 Nf6 2. c4 e5 3. dxe5 Ng4 4. Bf4 Nc6
5. Nf3 Bb4+ 6. Nbd2 Qe7 7. a3 Ngxe5 8. axb4",,,,,
,Black,,,,,
Blackburne Shilling Gambit,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nd4,,,,,
,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nd4 4. Nxe5,,,,,
,Black,,,,,
Marshall Trap,"1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4
5. d4 d5 6. Bd3 Bd6 7. O-O O-O 8. c4 Bg4
9. cxd5 f5",,,,,
,"1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4
5. d4 d5 6. Bd3 Bd6 7. O-O O-O 8. c4 Bg4
9. cxd5 f5 10. Re1",,,,,
,Black,,,,,
Légal Trap,"1. e4 e5 2. Nf3 Nc6 3. Bc4 d6 4. Nc3 Bg4
5. h3",1. e4 e5 2. Nf3 d6 3. Bc4 Bg4 4. Nc3,,,,
,"1. e4 e5 2. Nf3 Nc6 3. Bc4 d6 4. Nc3 Bg4
5. h3 Bh5 6. Nxe5",1. e4 e5 2. Nf3 d6 3. Bc4 Bg4 4. Nc3 g6,,,,
,White,White,,,,
Elephant Trap,"1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5 Nbd7
5. cxd5 exd5",,,,,
,"1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5 Nbd7
5. cxd5 exd5 6. Nxd5",,,,,
,Black,,,,,
Rubinstein Trap,"1. d4 d5 2. Nf3 Nf6 3. c4 e6 4. Bg5 Nbd7
5. e3 Be7 6. Nc3 O-O 7. Rc1 Re8 8. Qc2 a6
9. cxd5 exd5 10. Bd3 c6",,,,,
,"1. d4 d5 2. Nf3 Nf6 3. c4 e6 4. Bg5 Nbd7
5. e3 Be7 6. Nc3 O-O 7. Rc1 Re8 8. Qc2 a6
9. cxd5 exd5 10. Bd3 c6 11. O-O Ne4 12. Bf4",,,,,
,White,,,,,
Mortimer Trap,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 Ne7,,,,,
,"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 Ne7
5. Nxe5",,,,,
,Black,,,,,
Noah's Ark Trap,"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6
5. d4 b5",1. e4 c5 2. Nf3 Nc6 3. Bb5 a6,,,,
,"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6
5. d4 b5 6. Bb3",1. e4 c5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4,,,,
,Black,Black,,,,
Tarrasch Trap,"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6
5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6
9. c3 Be7 10. Re1 O-O 11. Nd4",,,,,
,"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6
5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6
9. c3 Be7 10. Re1 O-O 11. Nd4 Qd7",,,,,
,White,,,,,
Magnus Smith Trap,"1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6
5. Nc3 Nc6 6. Bc4",,,,,
,"1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6
5. Nc3 Nc6 6. Bc4 g6 7. Nxc6",,,,,
,White,,,,,
Siberian Trap,"1. e4 c5 2. d4 cxd4 3. c3 dxc3 4. Nxc3 Nc6
5. Nf3 e6 6. Bc4 Qc7 7. O-O",,,,,
,"1. e4 c5 2. d4 cxd4 3. c3 dxc3 4. Nxc3 Nc6
5. Nf3 e6 6. Bc4 Qc7 7. O-O Nf6",,,,,
,Black,,,,,
Würzburger Trap,1. e4 e5 2. Nc3 Nf6 3. f4 d5 4. fxe5 Nxe4,,,,,
,"1. e4 e5 2. Nc3 Nf6 3. f4 d5 4. fxe5 Nxe4
5. d3 Qh4+",,,,,
,White,,,,,